Time delta,[Camera],[Context]
0.9,"In the image, several customers are at the mall, with one wearing a black t-shirt with 'LEGENDARY POKÉMON' text and beige shorts, and another in a white shirt and brown pants. A child is in the background, and the mall features a tiled floor and modern design.","Salesman: みんなも新学期頑張ってね。"
2.9,"A person in a blue costume resembling a popular animated character walks towards the camera, wearing a white hat, brown shirt with a graphic, and blue gloves. Several masked customers are visible in the modern-designed mall.",no utterance is needed
2.8,"Several customers in various clothing, such as a brown shirt or a light-colored sweater, are walking towards the bakery. The mall's design is modern with a tiled floor.","Salesman: こんにちは。"
0.4,"Customers are heading to the bakery, wearing a mix of clothing like black pants, white tops, and colorful jackets. Some carry bags.","Salesman: ただいまのおすすめパンはゴマチーズですよ。"
1.1,"Customers dressed in casual and formal clothing, many wearing masks, walk through the mall. One wears a black and white striped shirt, another a white shirt and black pants. The design features glass and metal elements.","Salesman: こんばんは栄養価たっぷり。"
45.1,"The mall has no visible customers in the foreground; a person is on the stairs in the background wearing a light shirt and dark pants.",no utterance is needed
45.2,"Several customers in casual clothing are at the bakery in the mall. Some carry bags, creating a relaxed atmosphere.","Salesman: みなさん、こんにちは。"
1.1,"Customers at the bakery appear to be casually dressed, with a focus on one wearing a white shirt and dark pants.","Salesman: クルミのベーカリーでパンのお買い物して行きませんか？"
1.3,"Mall customers wear t-shirts and shorts, with some near the bakery, capturing the relaxed atmosphere typical of a shopping mall.",no utterance is needed
1.3,"An empty bakery with a glass window in a quiet mall setting has a tiled floor and recessed lighting, with some people walking in the background.","Salesman: サンドイッチでとってもオススメしているのはゴボウサラダサンド。"
0.6,"In the image, there are three customers at the entrance of a bakery at the mall.", Salesman: まだまだ暑い日が続きますが、ゴボウサラダで喉を通りやすいですよね。
0.6,"In the image, there are several customers walking and shopping at the mall.", no utterance is needed
0.6,"In the image, there are customers in front of the bakery, one holding a shopping bag.", Salesman: 冷蔵ショーケースにまだまだ本日も販売しています。ゴボウサラダさんいかがですか？食物繊維たっぷりでとても人気ですよ。
3.5,"In the image, customers near the bakery are wearing casual summer clothes.", Salesman: 夏野菜のラタトゥユドッグもまだまだ販売中です。この夏のとても人気な商品でした。いらっしゃいませ、どうぞ。
0.6,"In the image, several people stand near a bakery entrance.", Salesman: ごゆっくりお買い物くださいね。ご来店ありがとうございます。
1.0,"In the image, people are seen walking and standing near the bakery's entrance.", Salesman: どんなパンを選んでくれるんですかね？
1.1,"In the image, there are shopping mall customers dressed in casual attire.", Salesman: ソルビバベーカリーの美味しい塩パンで、お野菜などをサンドした塩パンパニーニも人気ですよ。
1.9,"Two people are near a bakery, one wearing a backpack.", Salesman: ありがとうございます。またのお越しをお待ちしております。
2.5,"A couple of people are walking in the mall, dressed in various attire.", no utterance is needed
2.6,"Several people walk towards the bakery, adorned in casual apparel.", Salesman: 最近リニューアルしたりんごのチーズタルトも人気なんですよ。
1.1,"Shopping mall patrons dress casually, comprising hats and t-shirts.", Salesman: お子様のおやつにもとても人気です。
4.3,"Individuals are moving towards the entrance, wearing casual outfits.", Salesman: ありがとうございます。またのお越しお待ちしております。
1.7,"In the image, people are gathered around the mall entrance.", no utterance is needed
1.6,"Several customers at the bakery enjoying their time with a bright atmosphere.","Salesman: ソルビバベーカリーの大人気パン塩パンはいかがですか？"
0.7,"Customers at the mall wear casual clothing, approaching the bakery entrance, mall has a modern design.","Salesman: 暑い時期でもとても人気で、今日もたくさんやきました。"
11.1,"Two customers with bags in front of the bakery, wearing blue masks and casual clothes.","Salesman: 皆さん、こんにちは。本日のお勧めはゴマチーズですよ。"
1.0,"Several customers at the mall with relaxed attire, modern design observed.","Salesman: その塩パンでお野菜をサンドした塩パンパニーニもとても人気ですよ。"
0.7,"Two people at the bakery, an adult and a child with a stroller, enjoying their visit.","Salesman: あっ、この間も来てくれたんじゃないかな先週覚えてる？可愛かったも笑顔が素敵な女の子だ。こんにちは。"
0.2,"Two customers at the bakery, a young girl and an adult woman both engaged in conversation.","Salesman: ああ。"
1.0,"A young girl and an adult walking casually in the mall, showing a relaxed atmosphere.","Salesman: 来てくれてありがとう、うれしいです。"
1.0,"In the image, two people in the foreground at a mall: a young girl in a black dress with a stroller, and an adult woman in black attire. The background shows a bakery and customers. Atmosphere is a typical mall day.",Salesman: ありがとうね。こんにちは学校帰りです。
0.9,"Two people in front of a bakery: a woman in black with a baby buggy, and a child in a light dress. Other customers in the background, casual atmosphere.",no utterance is needed
0.9,"Several mall customers, main focus on an adult in black and child in black in front of bakery. Other masked customers in the modern mall background.",Salesman: 700そっか、これから習い事行くんですか？
1.2,"Foreground shows a woman holding a baby stroller in a black dress and child in a light dress. Background includes other shoppers. Modern mall design.",no utterance is needed
1.2,"Foreground: child in a light dress and adult blue hair in black holding a buggy, unclear bakery background.",Salesman: そう。
0.7,"Woman in black dress and child in pink standing in front of a bakery at the mall, enjoying their visit.",no utterance is needed
0.7,"Woman in black, short hair and smiling, with child in black top and pink skirt. Blue and white bakery logo, background customers.",Salesman: Pokカーこんにちは。
1.4,"Two customers before a bakery: a woman with short blue hair in black, holding a buggy, and a girl in black with pink skirt.",no utterance is needed
1.5,"Mall bakery: woman in black with buggy, child in black dress. Lively shopping context.",Salesman: すごく素敵。笑顔ありがとう。
2.0,"Several customers at the mall, woman and girl in black in front of bakery. Modern interior.",no utterance is needed
1.9,"Focus on woman with handbag and girl with backpack in black in front of bakery, modern design setting.",Salesman: ありがとう。
0.5,"Focus on a woman and a child by a bakery, woman with a stroller, child in light dress. Modern mall with white columns.",Salesman: 素敵。
0.6,"Woman in black, long skirt, with a stroller, young girl in black by bakery. Background with other shoppers.",no utterance is needed
1.1,"Woman in black in front of bakery. Background: man, woman in white, and person in blue shirt with modern design.",no utterance is needed
1.1,"Customers at mall: one at bakery with bag, another in white shirt and hat approaching. Bright, bustling atmosphere.",Salesman: ありがとうございます。
1.5,"Various mall customers, attired in black and white, engaging in typical shopping activities.",no utterance is needed
1.4,"Several customers visible, main focus on a person in white outfit walking past the bakery.","Salesman: 嬉しいです。ありがとう覚え。"
0.2,"Several customers walking in modern mall, one towards camera in white tank top and black pants.",no utterance is needed
0.2,"Woman in white tank top walking towards camera with other customers carrying bags.","Salesman: 来てくれて嬉しい。"
6.0,"Customers with backpacks wearing white shirts and black pants walking in a mall.",no utterance is needed
6.1,"Customers wearing dark and light-colored outfits near bakery; colorful signboard visible.","Salesman: 今日もたくさんのパンを焼きましたよ..."
2.0,"Customers in casual wear at mall entrance with modern design, stairs visible.",no utterance is needed
2.1,"Casually dressed customers carrying bags in lively mall with bright lighting.","Salesman: そうだ、カレーパンが好きって言ってくれてたな大人ですよね。"
1.1,"Customers in front of bakery in a less crowded indoor mall.",no utterance is needed
1.0,"Casually dressed customers near bakery in clean, well-lit mall.","Salesman: Vejaカレーパンも美味しいけど..."
0.9,"Several customers in casual wear, one with child in carrier in modern mall.",no utterance is needed
0.9,"Woman with baby carrier in modern mall with bright environment; busy atmosphere.","Salesman: お惣菜パンが好きだったら..."
3.4,"Light and patterned shirt customers with bags in modern mall with staircase.",no utterance is needed
3.4,"Customers in blue and white shirts in front of bakery; casual atmosphere.","Salesman: こんにちは今日もいろんなパンを焼きましたよ。"
1.0,"Casual customers walking in busy mall, wearing patterned shirt and backpack.",no utterance is needed
1.0,"Customers near bakery entrance in casual clothing, bakery sign visible.","Salesman: 香ばしいごまをたくさん練り込んだパン..."
0.9,"Customers in casual wear, some carrying bags, relaxed mall atmosphere.",no utterance is needed
0.9,"Person walking towards bakery with bag, casual mall environment.","Salesman: ごまには栄養成分がたっぷり含まれています。"
1.8,"School uniformed customers walking in front of bakery.",no utterance is needed
1.8,"Casual customers walking in line towards bakery, some carrying bags.","Salesman: ほんのり甘いパンがお好きな方には..."
14.1,"Customers near bakery entrance in light and dark attire, relaxed atmosphere.",no utterance is needed
14.0,"In the image, there are several customers at the mall. Some are wearing casual clothing and carrying bags, engaged in activities possibly related to shopping.",Salesman: 今日もソルビバベーカリーお越しくださり、ありがとうございます。
1.9,"In the image, there are customers in the mall. People in various outfits, including a light-colored dress and a striped shirt, are present.",no utterance is needed
1.9,"Three customers at the bakery; a smiling girl in a light-colored dress, boy wearing a striped shirt, and another girl in similar attire, all in front of a colorful bakery sign.",Salesman: 大人気のモチモチ角食パンはいかがですかぁ？お買い物してくれたありがとう。
0.4,"Customers at the mall in front of the bakery, including a young girl in a light-colored dress. Others walking by with bags. Bright and cheerful atmosphere.",no utterance is needed
0.4,"Customers in front of the bakery; some carrying bags, others walking towards it. Includes a person in a brown top and light skirt, another in white shirt and dark skirt.",Salesman: おいしそうなパン見つかったかな？
0.9,"Several individuals at the mall, with a focus on one in a brown top and light-colored skirt, and another dressed darkly, in front of the bakery.",no utterance is needed
0.9,"Customers near the bakery; one in a brown dress and pink shoes, another in a white shirt and dark pants, amidst shopping activities.",Salesman: 今日みんなのカレーは売り切れちゃってるんですね。申し訳ないです。
0.9,"People at the mall, including one in a brown dress with pattern, another in a white top and black pants, along with others carrying bags.",no utterance is needed
0.9,"Bakery scenes with customers in varied clothing including a brown dress and pink shoes, blue top and black pants, some shopping.",Salesman: その代わりにお買い物してくれたのかな？
2.5,"Customers near the bakery; one in a black top, another in a blue top and brown pants, white and green accents in the mall.",no utterance is needed
2.4,"Mall with customers in light blue shirts; focal wear includes a light blue shirt and hat. Escalators and signboard in the backdrop.",Salesman: 買ってくれた？
1.3,"A young girl in a brown dress and pink shoes featured at the mall amid other shoppers, with a white column and staircase design.",no utterance is needed
1.3,"Individuals in themed outfits, including a black dress and striped shirt, two children in blue costumes, set in a modern mall design.",Salesman: 本当じゃカレーパンにしてくれたのかないつもよりちょっと贅沢なカレーパンになっちゃってごめんね。
1.4,"Image emphasizes three children, one with a 'QATAR' t-shirt and blue ribbon, another in a pink dress, amidst a modern mall setting.",no utterance is needed
1.4,"Three children in casual outfits in front of a bakery, featuring a colorful wall design, engaged in conversation.",Salesman: カレーパンと他にどんなパンが好き？
0.9,"Two young boys with tablets or books in front of a bakery, set against a tiled floor and white railing.",no utterance is needed
0.9,"Three children in casual clothing, one brown dress girl in front of a bakery, with a sign featuring a character.",Salesman: うん分かんない。
0.7,"Customers including a black shirt and skirt wearer near the bakery, others in brown shirt and shorts, broadly themed around the modern mall.",no utterance is needed
0.7,"Person in brown dress standing, another in brown shirt and pants walking towards the bakery, captures a modern mall scene.",Salesman: 美味しそうなもの食べてるねいいな。
2.4,"Foreground focus on brown dress wearer at mall, others engaging in activities, highlights includes escalator and colorful sign.",no utterance is needed
2.1,"In the image, there are several customers at the mall. One person is standing in the foreground, wearing a black top and a light-colored skirt. Another person is walking in the background, wearing a white shirt and a dark skirt. The mall has a modern design with white pillars and a tiled floor.","お姉ちゃんはどんなパンが食べたい？"
2.0,"In the image, there are a few customers at the bakery in the mall. One person is standing in front of the bakery. The bakery has a vibrant sign on the wall.","カレーパンが大好きなんだいいですね。カレーパン、いろんなカレーパンをもっと考えてみるのもありなのかな？"
1.0,"In the image, there are several customers at the mall. One person is wearing a brown shirt and sandals.","カレー好きなの？"
1.6,"In the image, there are several customers at the mall. Some are wearing backpacks, and there is also a curved staircase.","そっかカレー美味しいよね。"
0.9,"In the image, a young girl is in focus near a bakery, wearing casual clothing.","おうちでもカレーライスはよく食べるの？"
0.9,"In the image, a young girl is walking towards the camera, wearing a brown dress. Other customers are wearing masks.","僕はカレーが好きなんだいいなカレーは野菜もたくさん入ってるしね。"
1.9,"In the image, a young girl and other customers are in the mall, with bright lighting.","カレーパンが好きなお姉ちゃんですね。覚えておきますね。この時間に売り切れちゃってるのはちょっと珍しいんですけどね。いっぱい焼くから。"
0.7,"In the image, a woman pushes a stroller, and a child stands near a bakery. Others wear masks.","カレー大好きって言ってくれました。ありがとう。"
0.1,"In the image, a woman waves at the camera in front of a bakery with a young girl nearby.","バイバイ。"
0.4,"In the image, a woman is pushing a stroller and smiling towards the camera.","こんにちはカレーパン少なくてごめんね。また来てね、ありがとう。"
1.2,"A woman in a black dress with a blue mask pushing a stroller towards the bakery, accompanied by a boy in a light shirt and cap walking in the same direction.","Salesman: あーよかった。最後の一個あってよかったよ。お母さんもありがとうございます。またね。"
0.9,"A woman in a white shirt and black skirt heads to the bakery, with a boy in front of the bakery with red shoes.",no utterance is needed
1.0,"A woman and a boy at the mall, boy with blue shirt and red shoes.","Salesman: ありがとうお兄ちゃん、こんにちは順番待っててくれてありがとう。学校帰りかな？"
1.9,"A woman in white near the bakery, boy in pink shirt and hat looking up.",no utterance is needed
1.9,"Boy in light shirt and hat in front of bakery, bustling atmosphere inside the mall.","Salesman: こんにちはどこ行ってきたの？"
0.5,"Boy in light shirt and black cap, woman in white shirt visible, modern mall design.",no utterance is needed
0.4,"Boy in light blue outfit holds white bag, lively mall atmosphere with curved walkway.","Salesman: うん。"
0.9,"Boy in pink shirt with black cap in front of bakery, masks on others.",no utterance is needed
0.9,"Boy in beige with cap, serious expression, two women and a child behind.","Salesman: 今から習い事なのうん？"
1.1,"Boy in beige t-shirt and cap at a bakery in bright, busy mall setting.",no utterance is needed
1.1,"Boy in light shirt and black cap in front of bakery, others wearing masks, some with bags.","Salesman: そっか何も習い事してるの？"
0.1,"Boy in light shirt and shorts at bakery, woman in white shirt near, modern interior.",no utterance is needed
0.1,"Boy in beige shirt toward camera, woman in black skirt, man in cap nearby.","Salesman: オッケー。"
1.4,"Person in white shirt black skirt near bakery, beige shirt with black hat in front.",no utterance is needed
1.4,"Person in white caring for a boy in a pink shirt with a red cap nearby.","Salesman: あ、学研すごいお勉強しに行くんですね。すごい。もう夏休みは終わったの？"
1.9,"Woman in white holding handbag, boy with light t-shirt and cap also holding handbag.",no utterance is needed
1.9,"Woman and boy in middle of mall, bag over woman's shoulder, boy with pink t-shirt and backpack.","Salesman: そしたら共和をfill学校に行って、今から学研で勉強するってこと？"
1.6,"Person in white shirt and cap in front of bakery, surrounded by other customers.",no utterance is needed
1.7,"Person near bakery in white shirt and black pants, boy in blue shorts in foreground.","Salesman: すごい一日を勉強盛りだくさんですね。でも、なんか楽しそうすごくいいですね。"
0.5,"Boy in black cap, shirt walking toward camera, modern, busy mall.",no utterance is needed
1.5,"Several customers are present at a mall, with a distinctive modern design. One notable customer is wearing a light-colored shirt and shorts at the bakery entrance.",Salesman: 皆さんタイムセールが始まりましたよ。ソルビバベーカリーのお得なタイムセールが始まりました。
1.2,"Multiple customers at a mall, predominantly in casual clothing. Notable features include white columns and green elements in the modern design.",Salesman: どうぞどうぞゆっくりお買い物してくださいね。
0.2,"There are several customers at a bakery in the mall. The main focus is on attire that includes a blue apron and white hats.",no utterance is needed
1.0,"In a lively mall scene, a woman and child are heading towards a bakery. The bakery features a blue and white signboard.",Salesman: おすすめはゴマチーズかな？
0.9,"A person stands at the bakery's entrance in a light-colored shirt and pants. The interior showcases a prominent blue and white design.",Salesman: まだまだ暑くて夏バテに困ってらっしゃる方が多いですね。
0.8,"Several customers visible, one near bakery entrance","タイムセールが始まりましたよ。ソルビバベーカリーのタイムセールどうぞご利用ください。どんなパンが選べるか、どうぞお気軽にお店の中をのぞいてみてくださいね。"
2.8,"Several customers at the mall, casual atmosphere",no utterance is needed
2.9,"Multiple customers, some near and walking towards bakery","こんにちはタイムセール始まりましたよ、どうぞお気軽にお店を覗いてみてください。"
1.2,"Customers near bakery, casual clothing","まだまだいろんなパンをお選びいただけますよ。大人気のごまチーズやシナモンレーズンはいかがですか？きょうはたくさん行きました。"
0.9,"Two individuals, one in front of bakery",no utterance is needed
1.0,"Customers present near bakery entrance","まだまだ暑くて夏バテに大変なお客様も多いので、食欲が進みやすいごまチーズ、たくさんやきましたよ。"
1.3,"Several customers, mixture of attire","甘酸っぱいシナモンレーズンもこの夏に食欲が出ていいですよね。"
1.2,"Several heading towards and near bakery","タイムセールが始まりましたよ。ソルビバベーカリーのお得なタイムセール。ぜひご利用ください。"
2.2,"Several customers with masks near bakery","お得なタイムセールが始まりました。どうぞお気軽にお店の中をのぞいてみてください。まだまだいろんなパン選べますよ。こんにちはタイムセール始まりましたよ。いかがですか？"
1.5,"Customers walking in different directions","こんにちは。"
0.2,"Diverse clothing among customers","今日もお越しくださり、ありがとうございます。また、どうぞお立ち寄りください。タイムセール始まりましたよ。とてもお買い得なタイムセールです。"
0.6,"Casual, relaxed setting at bakery entrance","どんなパンがまだ選べるか、どうぞお気軽に覗いてみてください。もしお好きなパンがまだありましたら、タイムセールもぜひご活用くださいね。"
4.4,"Few customers walking, wearing skirts",no utterance is needed
4.3,"In the image, there are several customers in the mall. One person is walking towards the entrance of the bakery, wearing a black shirt and white pants. Another person is walking away from the bakery, wearing a brown shirt and dark pants. There are also two other people in the background, one of whom is wearing a mask and the other is not. The bakery has a sign with a blue and white design, and there is a signboard in front of the bakery. The mall has a tiled floor with a pattern, and there are columns and a staircase in the background.","Salesman: 鳥ベーカリーの美味しい塩パンは、売り切れる前にゲットしてくださいね。"
14.8,"In front of the bakery at the mall, a few customers are standing and walking around. They are casually dressed, and there's a relaxed and casual atmosphere. The bakery has a blue and white signboard.","Salesman: ただいまお得なタイムセールが始まりましたよ。"
1.0,"In the image, there are several customers in the mall. A person in the foreground is wearing a gray t-shirt and carrying a checkered bag. The mall has a modern design with escalators visible in the background.","Salesman: 大人気の塩パンまだありますよ。タイムセールをどうぞご活用ください。いらっしゃいませ、ようこそごゆっくりお買い物行ってくださいね。タイムセール始まりましたよ。いかがですか？"
0.4,"In the image, several customers are casually dressed in various outfits such as dresses, skirts, and jeans. The mall has modern design features with tiled floors and is busy and lively.","Salesman: お得なタイムセールを好きなパンがまだあるか？ぜひお気軽に覗いてみてください。"
3.6,"In the image, there are several customers at the mall, primarily focused on a woman and two children. The woman is typically wearing various colored shirts with a skirt and is often seen holding hands with the children, who also wear different colored outfits or backpacks. Various salesmen provide friendly greetings, asking about their day at school or shopping plans. The mall is consistently described as modern with tiled floors and various design features.",Salesman: こんにちは学校帰りですか？またのご来店をお待ちしております。
1.2,"In the image, there are two women walking in front of the bakery at the mall, both wearing similar outfits of white shirts and brown skirts or black pants with bags. The mall has a tiled floor, white columns, and sometimes a staircase visible. Occasionally, the salesman mentions a specific type of product on sale.",Salesman: 今日のお勧めはゴマチーズ。
1.3,"In the image, there are three people standing in front of a bakery at a mall. They are often described as wearing light-colored tops with backpacks, appearing engaged in some action like holding a small object or engaging with each other and smiling.",Salesman: ありがとうお話してくれて。
0.9,"In the image, there are two customers at the bakery at the mall, both wearing white shirts and black hats, carrying backpacks.",no utterance is needed
0.4,"In the image, there are fewer customers at the bakery, featuring an adult woman and a child, both smiling. The woman is usually in a brown top, while the child wears a brown skirt and backpack. The salesman thanks them and encourages taking advantage of ongoing sales.",Salesman: お買い物してくれるの？ありがとう、どうぞどうぞタイムセールご活用ください。
1.0,"In the image, there are two customers standing in front of a bakery at the mall. The customer on the left is wearing a white shirt and black pants, and the customer on the right is wearing a white shirt, black pants, and a hat. Both customers are carrying backpacks. The bakery has a signboard in the foreground, and there are other customers and store signs visible in the background.","Salesman: すごく素敵ありがとうございます。お話してくれてありがとうございます。"
0.5,"The image shows an indoor mall with a large, open space featuring a curved escalator and a staircase. The ceiling is white, and there are several white columns and pillars. The floor is tiled with a pattern of blue, white, and gray tiles.In front of the bakery, there is a signboard with a blue and white design.","Salesman: 素敵な笑顔癒されました。"
0.8,"The image shows an indoor mall with a bakery in the foreground. In front of the bakery, there is a signboard with a blue and white design. In the background, there are several customers walking around the mall. They are dressed in casual clothing, including t-shirts, shorts, and sandals.","Salesman: うれしいですね。"
2.2,"In the image, there are several customers at the mall. The customers are wearing casual clothing, including dresses, jackets, and jeans.","Salesman: まだまだいろんなパンがありますよ。"
0.3,"In the image, there are several customers at the mall. One person is walking towards the entrance of the bakery, while another person is standing near the entrance.","Salesman: 今日もお越しくださり、ありがとうございます。"
0.7,"In the image, there are several customers in the mall. One person is walking towards the bakery, carrying a shopping bag. The bakery has a signboard with a blue and white design.","Salesman: お得なタイムセールが始まったばかりですよ。どうぞお気軽に覗いてみてください。"
1.1,"In the image, there are several customers at the mall. Some are wearing hats or carrying shopping bags, and the mall has a modern design with a staircase.","Salesman: お得なタイムセールが始まりましたよ。今日の夕飯や明日の朝ご飯にいかがですか？"
0.4,"A young girl in a pink top is the main focus, heading towards the bakery. The mall looks lively.",no utterance is needed
0.4,"Two young girls in casual clothes approaching the camera are highlighted.","Salesman: お得なタイムセールをどうぞご活用ください。"
0.9,"Several customers are near the bakery, and some are wearing hats.",no utterance is needed
0.8,"Various customers, some in light-colored shirts, are heading towards the bakery.","Salesman: 夕方のタイムセールが始まりました。どうぞいらっしゃいませ。ゆっくりお買い物してくださいね。"
1.0,"A boy in a green t-shirt with a backpack is among the bustling customers.",no utterance is needed
1.0,"A young boy is looking towards the camera among other pedestrians.","Salesman: すみません。"
1.0,"Several mall-goers with masks and shopping bags can be seen.",no utterance is needed
1.0,"A young boy with a backpack is in the foreground.","Salesman: はい。"
1.4,"A person in a green shirt stands out among various mall customers.",no utterance is needed
1.4,"Interactions include someone in a green shirt walking towards the camera.","Salesman: お話してくれてありがとう。えっとね。今日も夕方19時までいますよ。"
1.2,"Details show individuals near the bakery, some returning from it.",no utterance is needed
1.2,"Two people with bags are moving about in a mall setting.","Salesman: また、遊びに来てね。"
0.7,"Mall-goers populate the bakery entrance area, depicting a busy atmosphere.",no utterance is needed
0.6,"Casual mall customers are seen, hinting at a relaxing atmosphere.","Salesman: お得なタイムセール始まりましたよ。"
1.1,"Children, one with a blue backpack, are visible among mall shoppers.",no utterance is needed
1.0,"Customers include one with a suitcase and another shielded by an umbrella.","Salesman: 今始まったばかりなので、まだまだいろんなパンが選べますよ。"
0.6,"Persons in white shirts, some wearing hats, are near the bakery.",no utterance is needed
0.6,"A mix of customers in hats and various clothing styles depicting a relaxed ambiance.","Salesman: すごくかっこいいウエスタンのスタイルですね。"
0.8,"Masked mall customers in coats demonstrate adherence to health guidelines.",no utterance is needed
2.8,"In the image, there are several customers at the bakery in the mall. A person wearing a white coat and carrying a purple bag is in the foreground. Others are wearing casual clothing, and the interior of the bakery is visible, with a busy and lively atmosphere.",no utterance is needed
0.6,"In the image, there are various customers at the bakery in the mall. Some are dressed casually while others more formally. Many wear masks. The bakery appears lively, with promotional posters on the walls.",Salesman: またのお越しをお待ちしております。
1.3,"In the image, several customers are at the bakery in the mall. Customers are wearing casual clothing, likely including white shirts and black pants, without specific identification. The environment looks lively and engaging.",no utterance is needed
1.3,"In the image, several customers are at the bakery in the mall. Clothing ranges from casual to formal, and many wear masks, reflecting health and safety guidelines. Customers appear to be enjoying their time.",Salesman: ちょっとでも食が進めばということで食べやすいごまチーズをたくさんやきましたよ。香ばしいごまとマヨネーズとチーズが。
5.3,"Various customers are visible at the bakery in the mall, each dressed differently—some in light-colored shirts and backpacks standing or moving towards the bakery. The scene is busy and bustling.",Salesman: ただいまお得なタイムセールを行っております。ご来店くださり、ありがとうございます。またのお越しお待ちしております。
3.0,"In this image, multiple customers are present at the mall, most likely in white shirts and brown pants. They seem to be walking or stopping, presenting a typical mall shopping scene.",Salesman: お得なタイムセールが始まりましたよいかがですか？
1.0,"In the image, there are several customers at the mall. The main focus is on a woman wearing a brown coat and black pants. She is walking towards the camera, holding a white bag. There are other customers in the background, some of whom are also wearing coats and pants. The mall has a modern design with white and green accents, and there are escalators and stairs visible in the background.","始まったばかりなので、まだいろんなパンをお選びいただけますよ。"
0.6,"In the image, there are several customers at the bakery. They are dressed casually, with some wearing skirts and others in pants. The bakery is busy, and there is a modern design with emphasis on white colors in the background.","香ばしいごまがたくさん練り込まれたごまチーズが人気です。マヨネーズとチーズの入って食欲が増しますよ。"
0.5,"In front of the bakery at the mall, customers are visible standing near the entrance, possibly browsing or waiting. The bakery displays a sign that reads 'BURL CAFE'. The ambiance is typical of a bustling mall.","ごまチーズとっても人気のごまチーズ。たくさんやきましたよ、いかがですか？"
1.5,"Several customers are near the bakery, engaged with their phones or walking around. The mall interior features a casual and relaxed setting, suitable for leisurely shopping.","モチモチのパンに甘酸っぱいレーズンを入れたシナモンレーズンも人気ですよ。"
1.2,"There are customers in front of the bakery at the mall, casually dressed and either taking photos or simply observing the setting. The relaxed and casual atmosphere is highlighted.","サンドイッチだとゴボウサラダ三度はいかがですか？"
0.5,"A few customers are present at the bakery, with one noted as standing near the entrance and another seated, perhaps enjoying a refreshment. The overall environment is relaxed.","ごぼうサラダは夏でも喉を通りやすいですよね。"
