Camera timestamp,End of utterance,Time delta,[Camera],[Context]
1056.5,1056.5,15.4,"In the image, there are several customers at the mall. One person is standing in front of the bakery, wearing a brown t-shirt with the text ""STOCKHOLM 1986 SWEDEN"" and a black backpack. Another person is walking by with a baby buggy, dressed in a light-colored shirt and dark pants. There are also other customers in the background, some of whom are also wearing casual clothing. The mall has a modern interior with white walls and ceiling lights.",no utterance is needed
1071.9,1074.9,15.4,"In the image, there are two people in the mall. One person is walking away from the camera, wearing a light-colored shirt and beige pants. The other person is standing near the entrance of the mall, wearing a dark-colored jacket and light-colored pants. The mall has a modern design with white columns and a curved staircase. There is also a signboard with some text and an image in the background.",Salesman: こんにちはマーメイドアバターのカナコです。
1076.2,1076.2,1.2,"The image shows an indoor area of a mall with a curved staircase leading upwards. The floor is tiled with a mix of white and gray tiles, and there are white railings on both sides of the staircase. The ceiling is white with recessed lighting.In front of the bakery, there are a few customers. One person is walking towards the bakery, while another person is standing near the entrance of the bakery. Both individuals are wearing casual clothing, including short pants and t-shirts. The bakery itself appears to be a small shop with a counter and shelves, and there is a signboard in front of it. The overall atmosphere seems to be that of a typical shopping mall with people going about their day.",no utterance is needed
1077.4,1082.5,1.2,"The image shows an indoor shopping mall with a modern, well-lit atrium. In the foreground, there is a curved escalator leading upwards. The floor is tiled with a combination of white and gray tiles, and there is a white railing along the escalator. In the background, there are several people walking, some of whom are carrying bags. The individuals appear to be casually dressed, suggesting that it might be a typical day in the mall. The lighting is bright, and the overall atmosphere is busy but not overly crowded.",Salesman: 今日も美味しいパンをたくさんやきました。ソルビバペイカリーノパンいかがですか？
1085.0,1085.0,2.5,"In the image, there are several customers at the bakery at the mall. The customers are wearing masks, which is a common practice to protect against the spread of COVID-19. The bakery has a sign with a logo and some text, indicating that it is likely a small business. The customers appear to be engaged in conversation, with some standing closer to the counter and others walking by. The overall atmosphere seems to be casual and relaxed.",no utterance is needed
1087.4,1092.7,2.5,"In the image, there are two individuals walking in what appears to be a mall or a shopping center. The person on the left is wearing a white shirt and dark pants, and the person on the right is wearing a white hat, a white shirt, and dark pants. Both individuals are wearing masks, and the person on the right is also wearing gloves. The setting includes a tiled floor, a white ceiling with recessed lighting, and a railing on the left side of the image. The background shows a part of the mall with a signboard and some other customers.",Salesman: ソルビバベーカリーの自家製食パンで作るサンドイッチはいかがですか？
1094.2,1094.2,1.5,"In the image, there are several people walking in what appears to be a mall or a shopping center. The customers are wearing casual clothing, including t-shirts and pants. Some of them are carrying bags, and one person is wearing a backpack. The overall atmosphere seems to be relaxed and casual, typical of a shopping environment.",no utterance is needed
1095.8,1099.4,1.5,"In the image, there are several people walking in the mall. The customers are wearing casual clothing, including t-shirts and shorts. Some of them are carrying bags, and one person is wearing a backpack. The mall appears to be well-lit, with bright lighting from overhead fixtures. The overall atmosphere seems to be relaxed and casual.",Salesman: 暑い夏にはゴボウサラダサンドがおすすめですよ。
1101.4,1101.4,2.0,"In the image, there are several customers at the bakery in the mall. The customers are wearing casual clothing, including t-shirts, shorts, and sneakers. Some of them are standing near the counter, while others are walking around the bakery area. The atmosphere appears to be relaxed and casual, typical of a shopping mall bakery.",no utterance is needed
1103.4,1107.3,2.0,"The image shows an indoor mall with a large, open space featuring a curved escalator. The ceiling is white, and there are several white pillars and columns supporting the structure. The floor is tiled with a combination of blue and white tiles, and there is a white railing along the escalator. In front of the bakery, there are a few customers. One person is standing near the entrance of the bakery, wearing a white shirt and jeans. Another person is walking towards the bakery, dressed in a black jacket and blue jeans. There is also a person in the background, partially obscured, wearing a white shirt and jeans. The overall atmosphere appears to be calm and quiet, with no visible activity other than the customers.",Salesman: 冷蔵ショーケースにていろんな種類のサンドイッチが並んでいます。
1108.7,1108.7,1.4,"In the image, there is a person walking in an indoor mall. The person is wearing a traditional Japanese kimono, which is a long, flowing garment typically worn by men and women in Japan. The kimono is predominantly black, with some white accents. The person is also carrying an umbrella, which is a common accessory in Japan, especially during rainy or sunny days. The person appears to be walking towards the entrance of a bakery, which is visible in the background. The mall has a modern design with white pillars and a curved staircase. The overall atmosphere is calm and serene, typical of a typical shopping mall in Japan.",no utterance is needed
1110.0,1111.8,1.3,"In the image, there is a person walking with an umbrella, wearing a dark-colored outfit. The person appears to be walking towards the entrance of the mall, which is likely a bakery. The mall has a modern design with a curved staircase and a tiled floor. The lighting is bright, and there are some advertisements and signs visible.",Salesman: 明日の朝ごはんはいかがですか？
1112.2,1112.2,0.4,"In the image, there is a person walking in the mall with an umbrella. The person is wearing a dark-colored outfit, possibly a coat or jacket. The mall appears to be well-lit, with a modern design featuring white columns and a curved staircase. The floor has a patterned tile design, and there are some advertisements or signs visible on the walls. The overall atmosphere seems to be calm and typical of a shopping mall environment.",no utterance is needed
1112.6,1118.9,0.4,"In the image, there is a woman walking in the mall. She is wearing a long, dark-colored robe or kimono. The mall has a modern design with a curved staircase and tiled flooring. The lighting is bright, and there are some advertisements and signs visible. The scene appears to be indoors, likely at a shopping mall or a similar establishment.",Salesman: ソルビバーベーカリーのモチモチ角食パン玄米山型食パンが売っても人気ですよ。
1144.2,1144.2,25.3,"In the video, there are several customers at the bakery in the mall. They are wearing casual clothing, including t-shirts and shorts. Some of them are carrying backpacks, and one person is wearing a watch on their left wrist. The bakery appears to be a popular spot for customers, with several people walking in and out of the store.",no utterance is needed
1169.6,1170.6,25.3,"In the image, there are several customers in the mall. One person is walking towards the camera, wearing a white shirt and dark shorts. Another person is walking away from the camera, wearing a white shirt and dark pants. There are also two other people in the background, one of whom is wearing a white shirt and dark pants, and the other is wearing a white shirt and dark shorts. The mall has a bright and clean atmosphere, with white walls and tiled floors.",Salesman: みなさん、こんにちは。
1171.2,1171.2,0.7,"In the image, there are several customers at the mall. One person is standing near the entrance of the bakery, wearing a black outfit. Another person is walking towards the bakery, dressed in a white shirt and a backpack. There are also other customers in the background, some of whom are wearing masks. The mall has a modern design with a white ceiling and tiled flooring.",no utterance is needed
1171.9,1175.6,0.7,"In the image, there are several customers at the mall. One person is walking towards the camera, wearing a black top and black pants. Another person is walking away from the camera, wearing a white shirt and shorts. There are also two mannequins in the background, one wearing a black top and the other a white shirt. The mall has a modern design with a curved walkway and a staircase leading to an upper level. The lighting is bright, and the overall atmosphere appears to be busy and bustling.",Salesman: 今日も一日、学校やお仕事お疲れ様です。
1176.2,1176.2,0.6,"The image shows an indoor mall with a curved staircase leading to an exit. The area is well-lit with ceiling lights and a few overhead lights. The floor is tiled with a pattern of blue, white, and green tiles. There are several people walking around, some of whom are wearing casual clothing such as t-shirts and jeans. The atmosphere appears to be busy but not overly crowded.",no utterance is needed
1176.8,1184.4,0.6,"The image shows an indoor mall with a curved escalator leading to an upper level. The floor is tiled with a pattern of white, gray, and green tiles. There are white pillars and a white railing on the escalator. In front of the bakery, there are a few people walking. They appear to be casually dressed, with some wearing jeans and others in casual shirts. The atmosphere seems to be relaxed and typical of a shopping mall environment.",Salesman: ちょっとお腹が空いてくる時刻じゃないですか？今日のおやつにソルビベーカリーのパンはいかがですか？
1185.9,1185.9,1.5,"The image shows an indoor mall with a modern design. In front of a bakery, there are several customers. One person is standing near the entrance, wearing a white shirt and jeans. Another person is sitting on a bench, also dressed in a white shirt and jeans. There is also a person walking in the background, wearing a black jacket and jeans. The overall atmosphere appears to be casual and relaxed.",no utterance is needed
1187.4,1193.3,1.5,"The image shows an indoor mall with a curved staircase leading to an escalator. The area is well-lit with ceiling lights and a few wall-mounted lights. The floor is tiled with a pattern of blue, white, and gray tiles. In front of the bakery, there are a few customers. One person is sitting on a bench, wearing a white shirt and jeans. Another person is standing, also wearing a white shirt and jeans. There is also a person in the background, partially obscured, wearing a blue shirt and jeans. The overall atmosphere appears to be calm and quiet, typical of a shopping mall during non-peak hours.",Salesman: ちょっとした栄養補給糖分補給にソルビバベーカリーのパンとてもお勧めですよ。
1210.5,1210.5,17.2,"The image shows an indoor mall with a curved staircase leading to an escalator. The area is well-lit with ceiling lights and a few overhead lamps. The floor is tiled with a mix of blue, white, and gray tiles, and there is a railing along the staircase.In front of the bakery, there are a few people walking or standing. One person appears to be wearing a white shirt and jeans, while another is wearing a black shirt and jeans. There is also a person sitting on the stairs, wearing a black shirt and jeans. The overall atmosphere seems to be casual and relaxed.",no utterance is needed
1227.7,1230.2,17.2,"The image shows an indoor mall with a curved escalator leading to an upper level. The area is well-lit with white ceiling lights and a few recessed lights. The floor is tiled with a combination of white and gray tiles, and there is a white railing along the escalator. In front of the bakery, there are a few customers. One person is standing near the entrance of the bakery, while another person is seated on a bench. The individuals are dressed in casual clothing, including short sleeves and light-colored shirts. The overall atmosphere appears to be calm and relaxed, typical of a shopping mall environment.",Salesman: 暑くて食欲が減退していませんか？
1231.1,1231.1,0.9,"In the image, there is a person walking in an indoor mall with an umbrella. The person is wearing a white shirt and dark pants. The mall has a modern design with a curved ceiling and a staircase leading to an upper level. There are also some advertisements and signs visible in the background.",no utterance is needed
1232.0,1238.8,0.9,"In the image, there is a person walking in an indoor mall with an umbrella. The person is wearing a white shirt and black pants. The mall has a modern design with white columns and a curved staircase. There are also some advertisements and signs visible in the background.",Salesman: ソルビバベーカリーのとろけるクリーム塩バターパンとてもお勧めですよ。
1239.9,1239.9,1.1,"The image shows an indoor area of a mall with a curved escalator and a tiled floor. In front of the bakery, there are a few customers. One person is standing near the escalator, wearing a light-colored shirt and jeans. Another person is sitting on a bench, wearing a dark-colored shirt and pants. There is also a person walking in the background, wearing a light-colored shirt and jeans. The overall atmosphere appears to be casual and relaxed.",no utterance is needed
1241.1,1243.2,1.2,"The image shows an indoor mall with a curved escalator leading to an upper level. The floor is tiled with a mix of blue and white tiles, and there are white columns supporting the ceiling. The lighting is bright, and the area appears to be well-lit. In front of the bakery, there are a few people walking or standing. One person is wearing a blue shirt, and another is wearing a white shirt. There is also a person in a yellow shirt, but they are not the main focus of the image. The overall atmosphere seems to be casual and relaxed.",Salesman: 冷蔵庫で少しひんやりさせてから食べるのもとてもおすすめです。
1244.5,1244.5,1.2,"The image shows an indoor area of a mall with a curved staircase leading upwards. The floor is tiled with a mix of light and dark tiles, and there are white pillars and railings. The ceiling is white with recessed lighting.In front of the bakery, there are a few customers. One person is standing near the entrance, wearing a light-colored shirt and jeans. Another person is walking towards the bakery, dressed in a dark outfit. There is also a person sitting on a bench, wearing a light-colored shirt and jeans. The overall atmosphere appears to be casual and relaxed.",no utterance is needed
1245.7,1250.1,1.2,"The image shows an indoor area of a mall with a curved staircase leading to an exit. The floor is tiled with a mix of white and gray tiles, and there are white railings on both sides of the staircase. The ceiling is white with recessed lighting. In front of the bakery, there are a few people walking. They appear to be casually dressed, with some wearing short pants and others in casual shirts. The atmosphere seems to be relaxed and typical of a shopping mall environment.",Salesman: 暑い夏のおやつにソルビベーカリーの美味しいパンはいかがですか？
1261.4,1261.4,11.3,"The image shows an indoor area of a mall with a curved staircase leading down to a lower level. The area is well-lit with white ceiling lights and a few recessed lights. The floor is tiled with a combination of white and gray tiles, and there are white railings on both sides of the staircase.In front of the bakery, there are a few customers. One person is sitting on a bench, and another person is standing near the entrance of the bakery. The person sitting appears to be wearing a light-colored shirt and jeans. The person standing is wearing a dark-colored shirt and jeans. There is also a poster or sign on the wall to the right of the staircase, but the details on the sign are not clear from the image.",no utterance is needed
1272.7,1274.2,11.3,"In the image, there are several people walking around the mall. The individuals are dressed in casual attire, with some wearing jackets and others in shorts and t-shirts. The atmosphere appears to be relaxed and casual, typical of a shopping mall environment.",Salesman: みなさん、こんにちは。
1275.3,1275.3,1.1,"The image shows an indoor area of a mall with a curved staircase leading upwards. The floor is tiled with a mix of white and gray tiles, and there is a white railing on the staircase. In the background, there are some buildings and a few people walking around.In front of the bakery, there are a few customers. One person is walking towards the bakery, carrying a bag. The bakery itself is not visible in the image, but it is likely located in the background. The customers appear to be casually dressed, with some wearing jackets or coats. The overall atmosphere seems to be that of a typical shopping mall, with people going about their day.",no utterance is needed
1276.5,1278.2,1.2,"The image shows an indoor area of a mall with a curved staircase leading upwards. The floor is tiled with a mix of blue and white tiles, and there are white railings on both sides of the staircase. The ceiling is white with recessed lighting. In front of the bakery, there are a few people walking or standing. One person is walking towards the entrance of the bakery, while another person is standing near the entrance. The individuals are dressed in casual clothing, including shirts and pants. The overall atmosphere appears to be calm and typical of a busy shopping mall.",Salesman: マーメイドアバターのカナコです。
1279.3,1279.3,1.1,"The image shows an indoor area of a mall with a curved staircase leading upwards. The floor is tiled with a mix of white and gray tiles, and there are white railings on both sides of the staircase. The ceiling is white with recessed lighting.In front of the bakery, there are a few customers. One person is sitting on a bench, and another person is standing near the entrance of the bakery. The individuals are dressed in casual clothing, including shirts and pants. The overall atmosphere appears to be calm and typical of a shopping mall environment.",no utterance is needed
1280.4,1283.4,1.1,"The image shows an indoor area of a mall with a curved staircase leading upwards. The floor is tiled with a mix of blue, white, and gray tiles, and there are white pillars and railings along the sides of the staircase. The ceiling is white with recessed lighting. In front of the bakery, there are a few people walking or standing. They appear to be casually dressed, with some wearing short sleeves and others in casual pants. The atmosphere seems to be relaxed and typical of a shopping mall environment.",Salesman: 今日もソルビバベーカリーの美味しいパンのご紹介をしております。
1288.2,1288.2,4.8,"The image shows an indoor area of a mall with a curved escalator leading upwards. The floor is tiled with a pattern of blue, white, and gray tiles. There are several people visible in the scene, but their details are not clear due to the angle and distance. The people appear to be walking or standing, possibly engaged in conversation or looking at something in front of them. The mall seems to be well-lit, with overhead lights illuminating the area.",no utterance is needed
1293.1,1300.2,4.8,"In the image, there are several customers at the mall. They are wearing casual clothing, including t-shirts, shorts, and sneakers. Some of them are standing near the bakery, while others are walking by. The atmosphere appears to be relaxed and casual, typical of a shopping mall environment.",Salesman: ソルビバベーカリーは2020年9月にヨーイドンのを目指のコーナーで紹介していただきました。
1300.9,1300.9,0.7,"The image shows an indoor mall with a curved escalator leading to an upper level. The mall has a modern design with white columns and tiled flooring. In the foreground, there is a curved walkway with a railing, and a few people are walking along it. In the background, there are more people, some of whom are standing and others are walking. The individuals appear to be casually dressed, suggesting that they are either shoppers or visitors to the mall. The lighting is bright, and the overall atmosphere is busy but not overly crowded.",no utterance is needed
1301.6,1305.3,0.7,"The image shows an indoor area of a mall with a curved escalator leading upwards. The floor is tiled with a pattern of blue, white, and gray tiles. There are several people visible in the scene, some of whom are walking and others who are standing or sitting. The individuals appear to be casually dressed, suggesting a relaxed atmosphere. The mall seems to be well-lit, with overhead lights illuminating the area.",Salesman: スペシャルじゃカレーパンとても人気がありますよ。
1306.2,1306.2,0.9,"In the image, there are several customers at the mall. One person is walking towards the entrance, while another is standing near the escalator. There are also a few people on the stairs, and a few more customers can be seen in the background. The customers are wearing casual clothing, including shirts and pants. The mall has a modern design with white and green accents, and there are some banners and signs visible.",no utterance is needed
1307.1,1311.8,0.9,"In the image, there are several customers in the mall. One person is walking towards the entrance, while another is standing near the escalator. There are also a few people sitting on the stairs, possibly waiting for their turn to use the escalator. The customers are dressed in casual attire, with some wearing long skirts and others in shorts and t-shirts. The mall has a modern interior with white walls and a clean, well-lit atmosphere.",Salesman: ちょっと大人の贅沢なカレーパンプジャカレーパンみやびいかがでしょうか？
1312.9,1312.9,1.1,"The image shows an indoor area of a mall with a curved staircase leading to an exit. The floor is tiled with a mix of blue and white tiles, and there are white railings on both sides of the staircase. The ceiling is white with recessed lighting.In front of the bakery, there are a few people visible. One person is standing near the entrance of the bakery, while another person is sitting on a bench. The individuals appear to be casually dressed, with some wearing short sleeves and others in casual pants. The overall atmosphere seems to be relaxed and casual, typical of a shopping mall environment.",no utterance is needed
1314.0,1316.6,1.1,"The image shows an indoor mall with a curved escalator leading to an upper level. The floor is tiled with a mix of light and dark tiles, and there are white pillars and columns supporting the ceiling. The area appears to be well-lit with overhead lights. In front of the bakery, there are several customers. One person is standing near the entrance, possibly waiting to enter or just passing by. Another person is walking towards the bakery, and there are a few more individuals in the background, engaged in various activities. The customers are dressed casually, suggesting a relaxed and everyday setting.",Salesman: 本日のお勧めさんでご紹介いただきました。
1318.3,1318.3,1.7,"The image shows an indoor area of a mall with a curved staircase leading upwards. The floor is tiled with a pattern of blue and white tiles, and there is a white railing on the left side of the staircase. The ceiling is white with recessed lighting.In front of the bakery, there are a few people visible. They appear to be walking or standing, but their details are not clear due to the distance and angle of the shot. The bakery itself is not clearly visible in the image, but it is likely situated in the background, given the presence of the stairs and the tiled floor.The overall atmosphere seems to be that of a typical shopping mall, with people going about their day.",no utterance is needed
